,Value
105,0.46586742102396517
106,0.43999249727668843
107,0.41815575163398694
108,0.4013379656862745
109,0.3851540550108932
110,0.3676314297385621
111,0.3584422930283224
112,0.3466269389978214
113,0.337934447167756
114,0.3297156290849673
115,0.32311857843137254
116,0.3124311683006536
117,0.30896659586056646
118,0.29956195261437907
119,0.2967610239651416
120,0.29399447440087145
121,0.2901604003267974
122,0.28611431644880175
123,0.2822042456427015
124,0.2819512608932462
125,0.2794260239651416
126,0.2753776089324619
127,0.27565076525054466
128,0.27304808006535947
129,0.2688419063180828
130,0.268227589869281
131,0.2643532216775599
132,0.2647598039215686
133,0.26456292755991284
134,0.2649636274509804
135,0.26630142701525056
136,0.26919961873638343
137,0.2684974319172113
138,0.2667421432461874
139,0.2684177614379085
140,0.26850389705882355
141,0.26703644335511983
142,0.26809230392156863
143,0.26708568355119827
144,0.2655690468409586
145,0.2673239488017429
146,0.26538536492374726
147,0.2632789106753813
148,0.26345864379084966
149,0.26109202614379085
150,0.25903324074074074
151,0.2599553022875817
152,0.2608268899782135
153,0.26366224673202615
154,0.26245370098039217
155,0.2625075462962963
156,0.2634647086056645
157,0.26412529956427017
158,0.2603782434640523
159,0.26135016612200435
160,0.2610909967320261
161,0.26508615468409585
162,0.2649445261437908
163,0.26662874727668845
164,0.2654606508714597
165,0.2642428077342048
166,0.2646674863834423
167,0.26447159041394336
168,0.2662897794117647
169,0.26669294389978215
170,0.2648684422657952
171,0.26399021786492377
172,0.2645324945533769
173,0.26176649237472766
174,0.2623063316993464
175,0.26098231209150324
176,0.2616714433551198
177,0.2633479193899782
178,0.26295706427015253
179,0.26409937908496733
180,0.2622619008714597
181,0.26155535403050106
182,0.26542761710239654
183,0.2638040277777778
184,0.26277105936819173
185,0.2649447794117647
186,0.26378602668845313
187,0.2629006236383442
188,0.2621599809368192
189,0.26249981209150325
190,0.2596367238562092
191,0.25930587962962964
192,0.26059748638344227
193,0.2608767892156863
194,0.2574996105664488
195,0.2570058796296296
